"Time [ms]","L(Phase_A,Phase_B) [uH]"
23.3599999999997,-305.691527243657
23.3999999999997,-299.71962985408
23.4399999999997,-292.7943435584
23.4799999999997,-284.833240385251
23.5199999999997,-275.860931960916
23.5599999999997,-266.646881099389
23.5999999999997,-259.118407380177
23.6399999999997,-251.308108514524
23.6799999999997,-243.309018719313
23.7199999999997,-234.320897045032
23.7599999999997,-217.767499554213
23.7999999999997,-194.124906433703
23.8399999999997,-169.806579289355
23.8799999999997,-145.573443086443
23.9199999999997,-122.600700671913
23.9599999999997,-100.342625317556
23.9999999999997,-80.1386387804891
24.0399999999997,-62.9088806843067
24.0799999999997,-49.6350262609158
24.1199999999997,-42.0769639568352
24.1599999999997,-41.9506191182787
24.1999999999997,-45.7552340462063
24.2399999999997,-51.1937469159766
24.2799999999997,-56.8612405809647
24.3199999999997,-62.0403546890212
24.3599999999997,-66.1187711453272
24.3999999999997,-69.2037894950551
24.4399999999997,-71.2917574344972
24.4799999999997,-72.321645952958
24.5199999999997,-71.1509982496209
24.5599999999997,-65.0902269660563
24.5999999999997,-54.7744708054003
24.6399999999997,-42.3499062457135
24.6799999999997,-31.3776383641329
24.7199999999997,-23.903485937108
24.7599999999997,-20.5369569105491
24.7999999999997,-21.6326002815167
24.8399999999997,-27.5636078149525
24.8799999999997,-38.3307386599138
24.9199999999997,-46.9281009600308
24.9599999999997,-58.2271595344637
24.9999999999997,-70.7386047005715
25.0399999999997,-84.5316272506484
25.0799999999997,-107.385178871531
25.1199999999996,-148.513759924586
25.1599999999996,-190.686784921556
25.1999999999996,-230.729102510366
25.2399999999996,-267.127513004901
25.2799999999996,-300.65785178413
25.3199999999996,-331.004636098082
25.3599999999996,-357.37638788372
25.3999999999996,-379.405454119543
25.4399999999996,-395.926113969175
25.4799999999996,-405.701254754275
25.5199999999996,-410.914204474963
25.5599999999996,-414.042192478874
25.5999999999996,-417.159678540488
25.6399999999996,-420.708898246366
25.6799999999996,-425.254889992301
25.7199999999996,-431.153643497828
25.7599999999996,-438.468581278471
25.7999999999996,-446.650172540249
25.8399999999996,-455.923018424187
25.8799999999996,-468.458988830215
25.9199999999996,-484.762673047825
25.9599999999996,-502.704345366917
25.9999999999996,-518.796465334215
26.0399999999996,-530.479418448298
26.0799999999996,-535.124440040028
26.1199999999996,-532.52878221774
26.1599999999996,-524.090883278862
26.1999999999996,-512.014797853295
26.2399999999996,-500.654272025218
26.2799999999996,-491.044024093881
26.3199999999996,-483.084264524443
26.3599999999996,-477.007231419596
26.3999999999996,-470.560168689586
26.4399999999996,-455.53093547063
26.4799999999996,-440.850271077177
26.5199999999996,-430.840478417452
26.5599999999996,-425.73461474343
26.6,-425.306482464541
